Year,Year_number,Site_Code,Orchard_Block,Alleyway_Treatment,Section_code,Tree_code,Distance,Blossoms,Fruit_set,Percentage_fuit_set
Year_2,2018,Site_2,Orchard_Block_3,AMWS,2,4,33.3,74,0,0
Year_2,2018,Site_2,Orchard_Block_3,AMWS,3,5,42.8,55,9,16.4
Year_2,2018,Site_2,Orchard_Block_3,AMWS,3,6,52.3,42,15,35.7
Year_2,2018,Site_2,Orchard_Block_3,AMWS,4,7,61.8,37,4,10.8
Year_2,2018,Site_2,Orchard_Block_3,AMWS,4,8,71.3,78,2,2.6
Year_2,2018,Site_2,Orchard_Block_4,CS,1,1,4.8,97,45,46.4
Year_2,2018,Site_2,Orchard_Block_4,CS,1,2,14.3,45,13,28.9
Year_2,2018,Site_2,Orchard_Block_4,CS,2,3,23.8,80,19,23.8
Year_2,2018,Site_2,Orchard_Block_4,CS,2,4,33.3,88,20,22.7
Year_2,2018,Site_2,Orchard_Block_4,CS,3,5,42.8,64,11,17.2
Year_2,2018,Site_2,Orchard_Block_4,CS,3,6,52.3,57,9,15.8
Year_2,2018,Site_2,Orchard_Block_4,CS,4,7,61.8,41,7,17.1
Year_2,2018,Site_2,Orchard_Block_4,CS,4,8,71.3,36,9,25
Year_2,2018,Site_2,Orchard_Block_4,SWS,1,1,4.8,56,20,35.7
Year_2,2018,Site_2,Orchard_Block_4,SWS,1,2,14.3,46,16,34.8
Year_2,2018,Site_2,Orchard_Block_4,SWS,2,3,23.8,78,11,14.1
Year_2,2018,Site_2,Orchard_Block_4,SWS,2,4,33.3,61,5,8.2
Year_2,2018,Site_2,Orchard_Block_4,SWS,3,5,42.8,62,1,1.6
Year_2,2018,Site_2,Orchard_Block_4,SWS,3,6,52.3,81,3,3.7
Year_2,2018,Site_2,Orchard_Block_4,SWS,4,7,61.8,76,4,5.3
Year_2,2018,Site_2,Orchard_Block_4,SWS,4,8,71.3,30,3,10
Year_2,2018,Site_2,Orchard_Block_4,AMWS,1,1,4.8,61,15,24.6
Year_2,2018,Site_2,Orchard_Block_4,AMWS,1,2,14.3,48,14,29.2
Year_2,2018,Site_2,Orchard_Block_4,AMWS,2,3,23.8,75,9,12
Year_2,2018,Site_2,Orchard_Block_4,AMWS,2,4,33.3,40,1,2.5
Year_2,2018,Site_2,Orchard_Block_4,AMWS,3,5,42.8,95,13,13.7
Year_2,2018,Site_2,Orchard_Block_4,AMWS,3,6,52.3,70,14,20
Year_2,2018,Site_2,Orchard_Block_4,AMWS,4,7,61.8,39,7,17.9
Year_2,2018,Site_2,Orchard_Block_4,AMWS,4,8,71.3,59,21,35.6
Year_2,2018,Site_3,Orchard_Block_5,CS,1,1,4.8,31,4,12.9
Year_2,2018,Site_3,Orchard_Block_5,CS,1,2,14.3,68,4,5.9
Year_2,2018,Site_3,Orchard_Block_5,CS,2,3,23.8,47,7,14.9
Year_2,2018,Site_3,Orchard_Block_5,CS,2,4,33.3,36,4,11.1
Year_2,2018,Site_3,Orchard_Block_5,CS,3,5,42.8,40,10,25
Year_2,2018,Site_3,Orchard_Block_5,CS,3,6,52.3,30,3,10
Year_2,2018,Site_3,Orchard_Block_5,CS,4,7,61.8,64,5,7.8
Year_2,2018,Site_3,Orchard_Block_5,CS,4,8,71.3,36,1,2.8
Year_2,2018,Site_3,Orchard_Block_5,SWS,1,1,4.8,54,4,7.4
Year_2,2018,Site_3,Orchard_Block_5,SWS,1,2,14.3,70,12,17.1
Year_2,2018,Site_3,Orchard_Block_5,SWS,2,3,23.8,56,6,10.7
Year_2,2018,Site_3,Orchard_Block_5,SWS,2,4,33.3,48,2,4.2
Year_2,2018,Site_3,Orchard_Block_5,SWS,3,5,42.8,34,0,0
