Year,Year_num,Site_Code,Orchard_Block,Alleyway_treatment,Distance,Section,Total,Richness,Shannon,Honeybee,Buff_tailed_bumblebee,Bumblebee,Solitary_bee,Hoverfly,Blossoms,Fruit_set,Percentage_Fruit_set,Fresh_mass,Height,Width,Length,Firmness,Dry_Matter
Year_1,2017,Site_3,Orchard_Block_5,SWS,28.5,Section 19-38,1.274509804,0.549019608,0.013591121,1.196078431,0,0.039215686,0.019607843,0.019607843,,8,,12.325,29.225,29.675,25.4,64.875,1.783125
Year_1,2017,Site_3,Orchard_Block_5,SWS,47.5,Section 38-57,1.019607843,0.568627451,0.024617301,0.921568627,0,0.019607843,0.019607843,0.058823529,,10,,12.983,29.565,29.37,25.955,60.75,1.9215
Year_1,2017,Site_3,Orchard_Block_5,SWS,66.5,Section 57-76,0.862745098,0.450980392,0.013591121,0.823529412,0,0.039215686,0,0,,9.5,,12.47894737,29.43157895,29.52105263,26.14210526,55.57894737,1.821052632
Year_1,2017,Site_3,Orchard_Block_6,AMWS,9.5,Section 0-19,1.176470588,0.568627451,0.072230509,1.019607843,0.039215686,0.058823529,0.058823529,0,,9.5,,11.23578947,27.88421053,28.82105263,25.16842105,64.10526316,1.682105263
Year_1,2017,Site_3,Orchard_Block_6,AMWS,28.5,Section 19-38,1.078431373,0.607843137,0.061715271,0.862745098,0,0.058823529,0.156862745,0,,10,,11.5215,28.155,29.205,25.405,59.8,1.5475
Year_1,2017,Site_3,Orchard_Block_6,AMWS,47.5,Section 38-57,0.735294118,0.5,0.020386682,0.647058824,0,0.058823529,0,0.029411765,,10,,12.119,28.77,29.7,25.83,69.3,1.555
Year_1,2017,Site_3,Orchard_Block_6,CS,9.5,Section 0-19,0.843137255,0.549019608,0.048020234,0.705882353,0,0.039215686,0.098039216,0,,10,,10.8035,28.315,28.18,24.76,69.55,1.5645
Year_1,2017,Site_3,Orchard_Block_6,CS,28.5,Section 19-38,0.470588235,0.333333333,0.053254034,0.392156863,0,0.019607843,0.058823529,0,,9,,11.62722222,29.75,29.12777778,25.61111111,64.66666667,1.372222222
Year_1,2017,Site_3,Orchard_Block_6,CS,47.5,Section 38-57,0.470588235,0.382352941,0.040773364,0.382352941,0,0.029411765,0.029411765,0.029411765,,9,,10.96222222,27.78888889,28.28888889,25.28888889,69.66666667,1.733333333
Year_1,2017,Site_3,Orchard_Block_6,SWS,9.5,Section 0-19,1.039215686,0.529411765,0.062774948,0.803921569,0,0.098039216,0.039215686,0.098039216,,9.5,,10.99263158,28.18947368,28.51052632,24.91052632,70.05263158,1.499473684
